CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,1,77183.6,2,New Customers
12347.0,2,7,4310.0,1,At-Risk Customers
12348.0,75,4,1797.24,2,New Customers
12349.0,19,1,1757.55,0,Loyal High-Value
12350.0,310,1,334.40000000000003,3,Low-Value Customers
12352.0,36,8,2506.04,2,New Customers
12353.0,204,1,89.0,3,Low-Value Customers
12354.0,232,1,1079.4,3,Low-Value Customers
12355.0,214,1,459.4,3,Low-Value Customers
12356.0,23,3,2811.43,2,New Customers
12357.0,33,1,6207.67,2,New Customers
12358.0,2,2,1168.06,0,Loyal High-Value
12359.0,58,4,6372.58,2,New Customers
12360.0,52,3,2662.06,2,New Customers
12361.0,287,1,189.9,3,Low-Value Customers
12362.0,3,10,5226.2300000000005,1,At-Risk Customers
12363.0,110,2,552.0,3,Low-Value Customers
12364.0,8,4,1313.1,0,Loyal High-Value
12365.0,291,2,641.38,3,Low-Value Customers
12367.0,4,1,168.9,0,Loyal High-Value
12370.0,51,4,3545.69,2,New Customers
12371.0,45,2,1887.96,2,New Customers
12372.0,72,3,1298.04,2,New Customers
12373.0,311,1,364.6,3,Low-Value Customers
12374.0,25,1,742.9300000000001,0,Loyal High-Value
12375.0,11,2,457.5,0,Loyal High-Value
12377.0,315,2,1628.12,2,New Customers
12378.0,130,1,4008.62,2,New Customers
12379.0,82,2,852.24,2,New Customers
12380.0,22,4,2724.81,2,New Customers
12381.0,5,5,1845.31,1,At-Risk Customers
12383.0,185,5,1850.56,2,New Customers
12384.0,29,2,585.27,0,Loyal High-Value
12386.0,338,2,401.9,3,Low-Value Customers
12388.0,16,6,2780.6600000000003,1,At-Risk Customers
12390.0,80,1,549.84,3,Low-Value Customers
12391.0,22,1,460.89,0,Loyal High-Value
12393.0,72,4,1582.6,2,New Customers
12394.0,64,2,1272.48,2,New Customers
12395.0,19,12,3018.63,1,At-Risk Customers
12397.0,36,2,2409.9,2,New Customers
12398.0,46,1,1635.66,2,New Customers
12399.0,119,4,1108.65,2,New Customers
12401.0,303,1,84.3,3,Low-Value Customers
12402.0,323,1,225.6,3,Low-Value Customers
12403.0,50,1,427.7,3,Low-Value Customers
12405.0,149,1,1710.39,2,New Customers
12406.0,22,2,3415.3,2,New Customers
12407.0,50,5,1708.12,2,New Customers
12408.0,33,5,2888.55,2,New Customers
12409.0,79,3,11072.67,2,New Customers
12410.0,309,2,693.33,3,Low-Value Customers
12412.0,75,3,1226.88,2,New Customers
12413.0,67,3,758.1,2,New Customers
12414.0,217,3,562.4100000000001,3,Low-Value Customers
12415.0,24,21,124914.53,1,At-Risk Customers
12417.0,3,9,3649.1,1,At-Risk Customers
12418.0,113,1,668.58,3,Low-Value Customers
12420.0,64,1,600.39,3,Low-Value Customers
12421.0,16,4,807.04,0,Loyal High-Value
12422.0,96,3,803.5600000000001,2,New Customers
12423.0,1,8,1859.31,1,At-Risk Customers
12424.0,163,2,1760.96,2,New Customers
12425.0,78,1,777.2,3,Low-Value Customers
12426.0,195,1,582.73,3,Low-Value Customers
12427.0,22,3,825.8000000000001,0,Loyal High-Value
12428.0,26,9,7956.46,1,At-Risk Customers
12429.0,9,4,3750.4,1,At-Risk Customers
12430.0,43,1,256.4,3,Low-Value Customers
12431.0,36,15,6487.45,1,At-Risk Customers
12432.0,43,5,5059.32,2,New Customers
12433.0,1,7,13375.87,1,At-Risk Customers
12434.0,85,2,806.14,2,New Customers
12435.0,80,2,7829.89,2,New Customers
12436.0,100,1,509.01,3,Low-Value Customers
12437.0,2,18,4951.41,1,At-Risk Customers
12438.0,14,2,2906.85,2,New Customers
12441.0,367,1,173.55,3,Low-Value Customers
12442.0,3,1,172.06,0,Loyal High-Value
12444.0,21,5,5005.46,1,At-Risk Customers
12445.0,22,1,133.4,0,Loyal High-Value
12446.0,58,1,1002.31,3,Low-Value Customers
12447.0,243,1,476.49,3,Low-Value Customers
12448.0,44,1,449.45,0,Loyal High-Value
12449.0,22,4,4067.29,2,New Customers
12450.0,156,2,197.88,3,Low-Value Customers
12451.0,11,5,9035.52,1,At-Risk Customers
12452.0,17,2,430.5700000000001,0,Loyal High-Value
12453.0,134,1,707.09,3,Low-Value Customers
12454.0,56,1,3528.34,2,New Customers
12455.0,73,6,2466.86,2,New Customers
12456.0,44,3,3181.04,2,New Customers
12457.0,66,7,2363.23,2,New Customers
12458.0,71,2,947.4,2,New Customers
12461.0,94,2,826.88,2,New Customers
12462.0,19,2,1189.59,0,Loyal High-Value
12463.0,53,4,1344.78,2,New Customers
12464.0,10,8,1212.05,1,At-Risk Customers
12465.0,17,2,742.19,0,Loyal High-Value
12468.0,188,2,729.54,3,Low-Value Customers
12471.0,2,30,19824.05,1,At-Risk Customers
12472.0,32,7,6572.11,1,At-Risk Customers
12473.0,29,5,3938.55,2,New Customers
12474.0,17,18,7375.79,1,At-Risk Customers
12475.0,54,1,723.38,3,Low-Value Customers
12476.0,16,11,6816.42,1,At-Risk Customers
12477.0,23,6,13219.74,1,At-Risk Customers
12478.0,4,1,680.99,0,Loyal High-Value
12479.0,11,1,527.2,0,Loyal High-Value
12480.0,28,4,3281.63,2,New Customers
12481.0,23,10,5596.32,1,At-Risk Customers
12483.0,17,8,2484.98,1,At-Risk Customers
12484.0,33,6,4541.72,2,New Customers
12488.0,10,3,1298.66,0,Loyal High-Value
12489.0,336,1,334.93,3,Low-Value Customers
12490.0,5,10,5417.93,1,At-Risk Customers
12491.0,39,1,460.4,0,Loyal High-Value
12492.0,63,2,263.21000000000004,3,Low-Value Customers
12493.0,166,2,433.74,3,Low-Value Customers
12494.0,16,7,1246.1,2,New Customers
12497.0,82,1,1043.1,3,Low-Value Customers
12498.0,21,3,403.7000000000001,0,Loyal High-Value
12500.0,23,11,4257.82,1,At-Risk Customers
12501.0,337,1,2169.39,3,Low-Value Customers
12502.0,96,5,3723.87,2,New Customers
12504.0,18,2,482.05,0,Loyal High-Value
12506.0,233,1,73.5,3,Low-Value Customers
12507.0,134,3,1304.81,2,New Customers
12508.0,26,2,398.27,0,Loyal High-Value
12509.0,284,1,176.5,3,Low-Value Customers
12510.0,143,2,982.57,2,New Customers
12512.0,66,2,138.03,3,Low-Value Customers
12513.0,113,1,612.29,3,Low-Value Customers
12514.0,267,1,1017.68,3,Low-Value Customers
12515.0,353,1,383.7,3,Low-Value Customers
12516.0,78,2,1312.06,2,New Customers
12517.0,28,5,2502.84,2,New Customers
12518.0,1,5,2056.89,1,At-Risk Customers
12519.0,64,1,340.84000000000003,3,Low-Value Customers
12520.0,79,5,2634.26,2,New Customers
12521.0,143,1,599.68,3,Low-Value Customers
12522.0,39,2,192.72,0,Loyal High-Value
12523.0,19,11,1789.77,1,At-Risk Customers
12524.0,9,8,4485.72,1,At-Risk Customers
12526.0,1,3,1316.66,0,Loyal High-Value
12527.0,82,3,348.71000000000004,3,Low-Value Customers
12528.0,9,6,1933.48,1,At-Risk Customers
12530.0,60,4,1662.28,2,New Customers
12531.0,15,1,125.22,0,Loyal High-Value
12532.0,30,1,349.83000000000004,0,Loyal High-Value
12534.0,131,1,1089.18,3,Low-Value Customers
12535.0,92,2,716.35,2,New Customers
12536.0,43,3,12601.830000000002,2,New Customers
12538.0,29,1,363.95,0,Loyal High-Value
12539.0,22,4,5568.35,2,New Customers
12540.0,20,17,13400.24,1,At-Risk Customers
12541.0,30,3,981.18,2,New Customers
12544.0,36,1,372.7,0,Loyal High-Value
12545.0,75,2,1000.39,2,New Customers
12546.0,47,2,1161.5,2,New Customers
12547.0,198,2,207.8,3,Low-Value Customers
